PARAM,AVG_TIME,RUN,FAILED,NB instances
1,426ms,1,0,1
1,177ms,2,0,1
1,187ms,3,0,1
10,172ms,1,0,1
10,172ms,2,0,2
10,197ms,3,0,2
20,184ms,1,0,2
20,177ms,2,0,2
20,175ms,3,0,2
50,272ms,1,0,4
50,251ms,2,0,4
50,216ms,3,0,4
100,217ms,1,0,3
100,199ms,2,0,4
100,191ms,3,0,4
1000,2497ms,1,0,10
1000,892ms,2,0,15
1000,231ms,3,0,20
